Beacon	GTOD	PCAP
-2095902336	-747713051	-747720769
-2095799936	-747613028	-747618374
-2095595136	-747413026	-747413575
-2095492736	-747303040	-747311167
-2095390336	-747203059	-747208778
-2095287936	-747103059	-747106382
-2095185523	-747003083	-747003950
-2094980736	-746793061	-746799168
-2094878336	-746693060	-746696775
-2094571136	-746383034	-746389572
-2094468736	-746283057	-746287168
-2094263936	-746073051	-746082369
-2094161536	-745972912	-745979952
-2094059136	-745873040	-745877535
-2093854336	-745663013	-745672709
-2093751936	-745563046	-745570365
-2093649536	-745463070	-745467943
-2093444736	-745253046	-745263111
-2093342336	-745153022	-745160738
-2093239936	-745053025	-745058366
-2093035136	-744852959	-744853555
-2092932736	-744741997	-744751166
-2092830336	-744643008	-744648757
-2092727936	-744542810	-744546362
-2092625536	-744442978	-744443952
-2092420736	-744233013	-744239151
-2092215936	-744033058	-744034356
-2092113536	-743923063	-743931925
-2092011108	-743823037	-743829519
-2091908736	-743723049	-743727152
-2091806336	-743623053	-743624759
-2091703936	-743513073	-743522336
-2091601536	-743413056	-743419960
-2091499136	-743313055	-743317552
-2091294336	-743103006	-743112716
-2091191936	-743003050	-743010330
-2091089529	-742903045	-742907939
-2090987136	-742803060	-742805551
-2090884736	-742693061	-742703034
-2090780868	-742593044	-742599281
-2090577536	-742393083	-742395959
-2090475035	-742292961	-742293455
-2090372736	-742183061	-742191150
-2090167936	-741983051	-741986351
-2089963136	-741773057	-741781551
-2089860736	-741673003	-741679147
-2089758252	-741573050	-741576628
-2089655936	-741473057	-741474346
-2089553536	-741363065	-741371950
-2089348736	-741163055	-741167147
-2089246336	-741063061	-741064755
-2089143936	-740953080	-740962354
-2089041536	-740853055	-740859942
-2088836736	-740653062	-740655148
-2088631936	-740443045	-740450349
-2088529536	-740343056	-740347931
-2088427136	-740243046	-740245547
-2088324736	-740133081	-740143055
-2088017536	-739833056	-739835937
-2087915136	-739733023	-739733548
-2087812736	-739623013	-739631113
-2087710336	-739523000	-739528714
-2087607936	-739423042	-739426335
-2087503655	-739313083	-739322067
-2087403136	-739213055	-739221542
-2087300736	-739113059	-739119142
-2087198336	-739013060	-739016743
-2087095936	-738913021	-738914328
-2086993536	-738802999	-738811939
-2086891136	-738703037	-738709534
-2086788736	-738603019	-738607135
-2086583936	-738393049	-738402312
-2086481536	-738293055	-738299932
-2086379136	-738193058	-738197531
-2086174336	-737983058	-737992706
-2086071936	-737883050	-737890321
-2085969536	-737783062	-737787921
-2085867136	-737683058	-737685532
-2085764736	-737573071	-737583021
-2085662336	-737473031	-737480718
-2085559936	-737373057	-737378306
-2085457536	-737273059	-737275908
-2085355136	-737173015	-737173534
-2085252736	-737063056	-737071131
-2085150336	-736963056	-736968729
-2085047936	-736862864	-736866313
-2084945536	-736763039	-736763924
-2084838581	-736653022	-736656972
-2084740736	-736553034	-736559132
-2084638336	-736449637	-736456719
-2084535936	-736353055	-736354303
-2084433380	-736243057	-736251755
-2084331136	-736143044	-736149530
-2084228736	-736043058	-736047120
-2084023936	-735833049	-735842285
-2083921536	-735733049	-735739923
-2083819136	-735633052	-735637514
-2083716695	-735533059	-735535082
-2083614336	-735423043	-735432628
-2083409536	-735223049	-735227923
-2083307136	-735123046	-735125525
-2083204736	-735013055	-735023026
-2082999537	-734813054	-734817916
-2082896776	-734713059	-734715168
-2082795136	-734613074	-734613528
-2082692736	-734503050	-734511125
-2082590212	-734403061	-734408600
-2082487936	-734303030	-734306324
-2082385536	-734203043	-734203913
-2082283136	-734093055	-734101520
-2082180721	-733993019	-733999079
-2082078336	-733893050	-733896710
-2081975936	-733793068	-733794307
-2081873536	-733682997	-733691910
-2081771136	-733583035	-733589490
-2081668736	-733483052	-733487093
-2081566336	-733383082	-733384715
-2081463936	-733273067	-733282294
-2081361536	-733173079	-733179910
-2081259136	-733073004	-733077512
-2081156736	-732973053	-732975089
-2081052888	-732863047	-732871250
-2080951936	-732763032	-732770294
-2080849536	-732663049	-732667892
-2080747136	-732563082	-732565508
-2080644736	-732453029	-732463033
-2080542336	-732353056	-732360688
-2080439936	-732253050	-732258292
-2080337395	-732153072	-732155780
-2080235136	-732052959	-732053510
-2080132736	-731943080	-731951114
-2080030336	-731843008	-731848691
-2079723136	-731533047	-731541490
-2079620731	-731433032	-731439092
-2079415936	-731233074	-731234309
-2079211136	-731023026	-731029491
-2079108627	-730922604	-730926994
-2079006336	-730822983	-730824671
-2078903936	-730713037	-730722270
-2078801536	-730613048	-730619875
-2078699136	-730513022	-730517496
-2078494336	-730303017	-730312651
-2078391636	-730203055	-730209966
-2078289536	-730103036	-730107894
-2078187136	-730003062	-730005501
-2078084637	-729893060	-729902918
-2077982336	-729790684	-729800686
-2077879936	-729692995	-729698251
-2077777535	-729592812	-729595894
-2077674663	-729483011	-729492974
-2077572736	-729383044	-729391097
-2077470336	-729283017	-729288660
-2077367936	-729183048	-729186300
-2077265536	-729083048	-729083896
-2077163136	-728973044	-728981496
-2076958336	-728773056	-728776661
-2076855936	-728673043	-728674294
-2076753536	-728563036	-728571867
-2076651136	-728463047	-728469474
-2076446336	-728263051	-728264687
-2076343936	-728153053	-728162260
-2076241536	-728052344	-728059889
-2076036736	-727853053	-727855075
-2075934336	-727743058	-727752619
-2075831936	-727643059	-727650289
-2075729536	-727543083	-727547896
-2075627136	-727443054	-727445496
-2075524736	-727333058	-727343087
-2075422336	-727233054	-727240697
-2075319936	-727133055	-727138277
-2075217536	-727033059	-727035890
-2075115136	-726933019	-726933485
-2075012736	-726823076	-726831087
-2074910336	-726723058	-726728685
-2074807936	-726623046	-726626285
-2074704811	-726513049	-726523104
-2074603136	-726413057	-726421490
-2074500711	-726313072	-726319059
-2074295936	-726113033	-726114262
-2074193536	-726002867	-726011882
-2073988736	-725803003	-725807037
-2073886336	-725703001	-725704667
-2073783936	-725592903	-725602258
-2073681432	-725493038	-725499770
-2073579136	-725393024	-725397441
-2073476736	-725293054	-725295078
-2073374336	-725183071	-725192655
-2073271936	-725082989	-725090279
-2073167492	-724983039	-724985822
-2073067136	-724883052	-724885449
-2072964736	-724773056	-724783016
-2072862336	-724673040	-724680675
-2072759936	-724573046	-724578273
-2072657331	-724473032	-724475666
-2072555136	-724372944	-724373435
-2072452736	-724262984	-724271038
-2072247936	-724062578	-724066230
-2072145536	-723963059	-723963864
-2072043136	-723853049	-723861451
-2071940736	-723753041	-723759059
-2071838336	-723652986	-723656669
-2071735134	-723553028	-723553471
-2071633536	-723443031	-723451873
-2071531135	-723343047	-723349445
-2071326336	-723143060	-723144673
-2071223936	-723033040	-723042280
-2071121536	-722933067	-722939872
-2071019136	-722833062	-722837468
-2070916736	-722733057	-722735045
-2070814336	-722623041	-722632597
-2070711937	-722522935	-722530261
-2070609536	-722422985	-722427855
-2070507136	-722323007	-722325462
-2070404736	-722213032	-722223035
-2070302336	-722111891	-722120619
-2070199936	-722013039	-722018232
-2069995136	-721812957	-721813455
-2069892736	-721702993	-721711044
-2069790336	-721603050	-721608643
-2069687936	-721503029	-721506257
-2069585536	-721403046	-721403857
-2069482527	-721293046	-721300849
-2069278336	-721093050	-721096638
-2069175936	-720993040	-720994224
-2069073536	-720883038	-720891855
-2068971093	-720782788	-720789396
-2068868736	-720683044	-720687023
-2068766336	-720583000	-720584654
-2068663936	-720473048	-720482258
-2068561536	-720373056	-720379862
-2068459136	-720273044	-720277462
-2068356736	-720173029	-720175049
-2068254336	-720063034	-720072603
-2068151747	-719963067	-719970062
-2068049536	-719862757	-719867853
-2067947136	-719763053	-719765456
-2067844736	-719652974	-719662970
-2067537536	-719353043	-719355841
-2067435136	-719253052	-719253446
-2067230336	-719043037	-719048621
-2067127936	-718943047	-718946252
-2067025536	-718843037	-718843849
-2066923136	-718732997	-718741433
-2066820736	-718632999	-718639018
-2066718336	-718533015	-718536642
-2066615846	-718433029	-718434149
-2066513443	-718322902	-718331751
-2066411136	-718223042	-718229428
-2066308736	-718123014	-718127048
-2066103936	-717913037	-717922240
-2066001536	-717813053	-717819848
-2065899136	-717712033	-717717425
-2065694336	-717502973	-717512618
-2065489536	-717303012	-717307834
-2065284736	-717093039	-717102964
-2065182336	-716992996	-717000632
-2064977536	-716793051	-716795838
-2064875136	-716692981	-716693423
-2064772736	-716583005	-716591014
-2064567936	-716383045	-716386230
-2064465536	-716282984	-716283836
-2064260736	-716073040	-716079040
-2064158336	-715969379	-715976639
-2064055936	-715873037	-715874212
-2063953536	-715762922	-715771833
-2063851136	-715662591	-715669384
-2063646336	-715463038	-715464623
-2063543936	-715353023	-715362231
-2063441536	-715253035	-715259839
-2063339136	-715150307	-715157433
-2063236736	-715053019	-715055013
-2063134336	-714942958	-714952641
-2063031936	-714843035	-714850224
-2062724736	-714533041	-714542977
-2062622336	-714432987	-714440630
-2062519936	-714333025	-714338230
-2062417536	-714233030	-714235834
-2062315136	-714132986	-714133436
-2062212736	-714022993	-714031032
-2062110336	-713922996	-713928584
-2062007936	-713823008	-713826222
-2061803136	-713612982	-713621404
-2061700736	-713513043	-713519025
-2061598336	-713413048	-713416624
-2061495936	-713313055	-713314228
-2061393536	-713203041	-713211802
-2061188736	-713000271	-713007026
-2061086336	-712902865	-712904620
-2060983936	-712792979	-712802225
-2060881536	-712693034	-712699787
-2060779136	-712592990	-712597421
-2060676736	-712493055	-712495018
-2060574336	-712383020	-712392622
-2060369536	-712180868	-712187827
-2060267136	-712083049	-712085397
-2060062336	-711873010	-711880626
-2059959936	-711773054	-711778178
-2059857529	-711673054	-711675805
-2059755136	-711572982	-711573421
-2059652736	-711463050	-711471028
